Path	Category	FieldID	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
Assessment Centre > Verbal interview > Medical conditions	100074	20008	Interpolated Year when non-cancer illness first diagnosed	386742	1145473	Complete	Continuous	years	Data	Primary	Unisex	4	34	13	This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, measured in years.    If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5   If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months.  Interpolated values before the date of birth were truncated forwards to that time.   Interpolated values after the time of data acquisition were truncated back to that time.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20008
Assessment Centre > Verbal interview > Operations	100076	20010	Interpolated Year when operation took place	399176	1003283	Complete	Continuous	years	Data	Primary	Unisex	4	32	13	This is the year when the participant indicated the operation took place.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20010
Assessment Centre > Touchscreen > Sociodemographics > Ethnicity	100065	21000	Ethnic background	501521	533516	Complete	Categorical single	NA	Data	Derived	Unisex	3	1	1001	This is an amalgam of sequential branching questions asked during the initial Assessment Centre visit as part of the touchscreen questionnaire.    The question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21000
Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	21001	Body mass index (BMI)	499421	574596	Complete	Continuous	Kg/m2	Data	Derived	Unisex	4	1	NA	BMI value here is constructed from height and weight measured during the initial Assessment Centre visit. Value is not present if either of these readings were omitted.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21001
Health-related outcomes > Death register	100093	40000	Date of death	37897	37957	Accruing	Date	NA	Data	Primary	Unisex	2	1	NA	Date of death. Acquired from central registry.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40000
Health-related outcomes > Death register	100093	40001	Underlying (primary) cause of death: ICD10	37735	37795	Accruing	Categorical single	NA	Data	Primary	Unisex	2	1	19	Underlying/primary cause of death reported for participant. Note that this may not match the text value in Field 40010 due to transcription errors at source.  Acquired from central registry.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40001
Health-related outcomes > Death register	100093	40002	Contributory (secondary) causes of death: ICD10	24774	56655	Accruing	Categorical single	NA	Data	Primary	Unisex	2	14	19	Contributory/secondary causes of death reported for participant. There may be zero, one or many. Acquired from central registry.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40002
Health-related outcomes > Cancer register	100092	40005	Date of cancer diagnosis	116047	156178	Accruing	Date	NA	Data	Primary	Unisex	18	1	NA	Date of cancer diagnosis, acquired from central registry.  Note that data from the most recent 12-18 months is still accruing (i.e. it is not complete).   The events/dates are indexed in the order in which they are received and processed by UK Biobank rather than in their own chronological order.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40005
Health-related outcomes > Cancer register	100092	40006	Type of cancer: ICD10	111445	140930	Accruing	Categorical single	NA	Data	Primary	Unisex	18	1	19	The ICD-10 code for the type of cancer. Acquired from central registry. The ICD-10 tree displayed on this page includes all cancer records for each UK Biobank participant (for which there may be multiple ICD codes). For more information on the first diagnosed cancer in each participant, please refer to Category 100092.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40006
Health-related outcomes > Cancer register	100092	40013	Type of cancer: ICD9	11221	15240	Accruing	Categorical single	NA	Data	Primary	Unisex	15	1	87	The ICD9 code for the type of cancer. Acquired from central registry.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40013
Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	41270	Diagnoses - ICD10	440019	6302100	Ongoing	Categorical multiple	NA	Data	Primary	Unisex	1	243	19	This field is a summary of the distinct diagnosis codes a participant has had recorded across all their hospital inpatient records in either the primary or secondary position. Diagnoses are coded according to the International Classification of Disease version 10 (ICD-10).   The corresponding date each diagnosis was first recorded across all their episodes in hospital is given in Field 41280.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41270
Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	41271	Diagnoses - ICD9	20299	58684	Ongoing	Categorical multiple	NA	Data	Primary	Unisex	1	47	87	This field is a summary of the distinct diagnosis codes a participant has had recorded across all their hospital inpatient records in either the primary or secondary position. Diagnoses are coded according to the International Classification of Disease version 9 (ICD-9).  The corresponding date each diagnosis was first recorded in each participant's hospital inpatient records is given in Field 41281.  Please note ICD-9 coded hospital inpatient data are only available for older Scottish hospital records.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41271
Health-related outcomes > Hospital inpatient > Summary Operations	2005	41272	Operative procedures - OPCS4	440161	4977062	Ongoing	Categorical multiple	NA	Data	Primary	Unisex	1	124	240	This field is a summary of the operation and procedure codes a participant has had recorded across all their hospital inpatient records in either the main or secondary position. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each procedure was first recorded in the inpatient data can be found in Field 41282.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41272
Health-related outcomes > Hospital inpatient > Summary Operations	2005	41273	Operative procedures - OPCS3	10699	18579	Ongoing	Categorical multiple	NA	Data	Primary	Unisex	1	16	259	This field is a summary of the operation and procedure codes a participant has had recorded across all their hospital inpatient records in either the main or secondary position. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 3 (OPCS-3).  The corresponding date when each procedure was first recorded in the inpatient data can be found in Field 41283.  Please note OPCS-3 coded hospital inpatient data are only available for older Scottish hospital records.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41273
Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	41280	Date of first in-patient diagnosis - ICD10	440016	6301998	Ongoing	Date	NA	Data	Primary	Unisex	1	243	NA	This field provides, for each participant, the date each ICD-10 diagnosis code was first recorded in either the primary or secondary position in the participant's hospital inpatient records (in the field DIAG_ICD10 in the HESIN_DIAG table).  The date given is the episode start date (the EPISTART field on the HESIN table), or if this was missing the admission date (the ADMIDATE field on the HESIN table). See the Inpatient data Dictionary (Resource 141140) in Category 2000 for information about the HESIN and HESIN_DIAG tables.  The corresponding ICD-10 diagnosis codes can be found in data-field Field 41270 and the two fields can be linked using the array structure.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41280
Health-related outcomes > Hospital inpatient > Summary Diagnoses	2002	41281	Date of first in-patient diagnosis - ICD9	20299	58684	Ongoing	Date	NA	Data	Primary	Unisex	1	47	NA	This field provides, for each participant, the date each ICD-9 diagnosis code was first recorded as a primary or secondary diagnosis in the participant's hospital inpatient records (in the field DIAG_ICD9 in the HESIN_DIAG table).  The date given is the episode start date (the EPISTART field on the HESIN table), or if this was missing the admission date (the ADMIDATE field on the HESIN table). See the Inpatient data Dictionary (Resource 141140) in Category 2000 for information about the HESIN and HESIN_DIAG tables.  The corresponding ICD-9 diagnosis codes can be found in data-field Field 41271 and the two fields can be linked using the array structure.   Please note ICD-9 coded hospital data are only available for older Scottish hospital records.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41281
Health-related outcomes > Hospital inpatient > Summary Operations	2005	41282	Date of first operative procedure - OPCS4	440155	4976965	Ongoing	Date	NA	Data	Primary	Unisex	1	124	NA	This field provides, for each participant, the dates when each of the procedures in Field 41272 was first recorded in the participant's hospital inpatient records (in either the main or a secondary position). The date can be linked to Field 41272 by using the array structure.   Please note that we have opted to populate this data-field with the episode start date (EPISTART in the HESIN table) or, if that was missing, the admission start date (ADMIDATE in the HESIN table) rather than use the operation date (OPDATE in the HESIN_OPER table). The rationale for this was:    around 1 in 5 primary procedures lacked a corresponding value for OPDATE in HESIN_OPER;     some recorded OPDATEs were inconsistent with the other date fields such as EPISTART, ADMIDATE, EPIEND and DISDATE (most likely due to data entry errors);     for those episodes with a value for OPDATE recorded the majority were the same as the value of EPISTART, with around 99% of OPDATE values within 7 days of the value of EPISTART;     values of EPISTART/ADMIDATE are more complete and thus may provide greater consistency across data providers.     See the Operations tab of the Hospital Inpatient Data Dictionary (Resource 141140) for further information about these fields.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41282
Health-related outcomes > Hospital inpatient > Summary Operations	2005	41283	Date of first operative procedure - OPCS3	10699	18579	Ongoing	Date	NA	Data	Primary	Unisex	1	16	NA	This field provides, for each participant, the dates when each of the procedures in Field 41273 was first recorded in the participant's hospital inpatient records (in either the main or a secondary position). The date can be linked to Field 41273 by using the array structure.   Please note that we have opted to populate this data-field with the episode start date (EPISTART in the HESIN table) or, if that was missing, the admission start date (ADMIDATE in the HESIN table) rather than use the operation date (OPDATE in the HESIN_OPER table). The rationale for this was:    around 1 in 5 primary procedures lacked a corresponding value for OPDATE in HESIN_OPER;     some recorded OPDATEs were inconsistent with the other date fields such as EPISTART, ADMIDATE, EPIEND and DISDATE (most likely due to data entry errors);     for those episodes with a value for OPDATE recorded the majority were the same as the value of EPISTART, with around 99% of OPDATE values within 7 days of the value of EPISTART;     values of EPISTART/ADMIDATE are more complete and thus may provide greater consistency across data providers.     See the Operations tab of the Hospital Inpatient Data Dictionary (Resource 141140) for further information about these fields.  Please note OPCS-3 coded hospital inpatient data are only available for older Scottish hospital records.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41283
